Rank,Overall,Tier,Player,Tm,AGE,BYE,62S,ESPN points,ESPN - roto pts,rotoCal$,ESPN$,ESPN - roto $
#90,-,8,Kyle Williams,SF,25,9,2,,,,,
#91,-,8,Austin Collie,SF,27,9,2,5,3,,0,
#92,-,8,Jon Baldwin,SF,24,9,2,,,,,
#93,-,8,Jarius Wright,MIN,23,5,2,,,,,
#94,-,8,Riley Cooper,PHI,25,12,2,,,,,
#95,-,8,Jerome Simpson,MIN,27,5,2,,,,,
#96,-,8,Nick Toon,NO,24,7,2,,,,,
#97,-,8,Marvin Jones,CIN,23,12,2,,,,,
#98,-,8,T.J. Graham,BUF,24,12,2,,,,,
#99,-,8,Josh Boyce,NE,23,10,2,,,,,
#100,-,8,Ace Sanders,JAC,21,9,1,,,,,
#101,-,8,Justin Hunter,TEN,22,8,1,,,,,
